STATION_NAME,STATION_ARRONDISSEMENT,STATION_LATITUDE,STATION_LONGITUDE
Métro Henri-Bourassa (Henri-Bourassa / Millen), Ahuntsic-Cartierville,45.556751,-73.667162
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury), Ahuntsic=Cartierville, 45.5534001,-73.6622545
Tolhurst / Fleury, Ahuntsic-Cartierville, 45.544149,-73.66752
Métro Sauvé (Berri / Sauvé), Ahuntsic-Cartierville,45.550692,-73.656367
Hamel / Sauriol,Ahuntsic-Cartierville,45.5615701,-73.6533818
Chabanel / du Parc,Ahuntsic-Cartierville,45.538308,-73.654884
Chabanel / Tolhurst,Ahuntsic-Cartierville,45.540105,-73.6534703
Parc Henri-Julien (St-Denis / Legendre),Ahuntsic-Cartierville,45.5472998,-73.6458743
Parc Howard (de l'Épée / de Liège),Villeray - Saint-Michel - Parc-Extension,45.5616903,-73.610512
Métro Crémazie (Crémazie / Lajeunesse),Ahuntsic-Cartierville,45.546408,-73.638428
Complexe sportif Claude-Robillard (Émile-Journault),Ahuntsic-Cartierville,45.5535846,-73.6383855
Papineau / Émile-Journault,Villeray - Saint-Michel - Parc-Extension,45.559884,-73.633568
Jacques-Casault / Christophe-Colomb,Ahuntsic-Cartierville,45.552123,-73.630103
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),Villeray - Saint-Michel - Parc-Extension,45.559872,-73.615541
Parc Nicolas-Tillemont (des Érables / Villeray),Villeray - Saint-Michel - Parc-Extension,45.5546365,-73.6125522
Villeray / de Normanville,Villeray - Saint-Michel - Parc-Extension,45.5471871,-73.6184299
Parc Villeray (Christophe-Colomb / Jarry),Villeray - Saint-Michel - Parc-Extension,45.5480925,-73.624261
Lajeunesse / Villeray,Villeray - Saint-Michel - Parc-Extension,45.542119,-73.622547
Gary-Carter / St-Laurent,Villeray - Saint-Michel - Parc-Extension,45.5359,-73.622443
Ball / Bloomfield,Villeray - Saint-Michel - Parc-Extension,45.529997,-73.6328709
Métro Acadie (de l'Acadie / Beaumont),Villeray - Saint-Michel - Parc-Extension,45.523575,-73.623443
Jean-Talon / de l'Épée,Villeray - Saint-Michel - Parc-Extension,45.5274866,-73.6240625
Métro Parc  (Hutchison / Ogilvy),Villeray - Saint-Michel - Parc-Extension,45.5303513,-73.6243924
Fabrik8 (Waverly / Jean-Talon),Villeray - Saint-Michel - Parc-Extension,45.5333073,-73.6208224
Lanaudière / Jean-Talon,Villeray - Saint-Michel - Parc-Extension,45.5454627,-73.6107802
CHSLD St-Michel (8e avenue / Jarry),Villeray - Saint-Michel - Parc-Extension,45.5616903,-73.610512
6e avenue / Villeray,Villeray - Saint-Michel - Parc-Extension,45.5587396,-73.6058904
CHSLD Joseph-François-Perrault (St-Michel / Everett),Villeray - Saint-Michel - Parc-Extension,45.5596973,-73.6014596
Métro St-Michel (Shaughnessy / St-Michel),Villeray - Saint-Michel - Parc-Extension,45.559199,-73.599658
Collège de Rosemont (Beaubien / 15e avenue),Rosemont - La Petite-Patrie,45.5577499,-73.5838012
CHSLD Robert Cliche (de Bellechasse / 16e avenue),Rosemont - La Petite-Patrie,45.557568,-73.579191
e Avenue / Bélanger,Rosemont - La Petite-Patrie,45.5545828,-73.5963191
Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.5490223,-73.5919816
Garnier / Beaubien,Rosemont - La Petite-Patrie,45.5415102,-73.5984206
de Bellechasse / de Lanaudière,Rosemont - La Petite-Patrie,45.5393536,-73.5953736
Marquette / des Carrières,Rosemont - La Petite-Patrie,45.538799,-73.5887
St-Grégoire / Christophe-Colomb,Le Plateau-Mont-Royal,45.5325974,-73.5901111
Marmier / St-Denis,Rosemont - La Petite-Patrie,45.530871,-73.598345
BIXI K5, Rosemont - La Petite-Patrie, 45.530367, -73.601450
de Gaspé / Marmier,Rosemont - La Petite-Patrie,45.529686,-73.601728
Clark / de l'Arcade,Le Plateau-Mont-Royal,45.527372,-73.6039835
Casgrain / St-Viateur,Le Plateau-Mont-Royal,45.527513,-73.598791
St-Urbain / Laurier,Le Plateau-Mont-Royal,45.5216462,-73.5936677
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271484,-73.5894795
Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.527231,-73.586726
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.517,-73.589
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.5148749,-73.5848641
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.5198966,-73.5801065
Berri / Rachel,Le Plateau-Mont-Royal,45.522719,-73.577204
de Brébeuf / du Mont-Royal,Le Plateau-Mont-Royal,45.529408,-73.578154
St-Hubert / du Mont-Royal, Le Plateau-Mont-Royal, 45.525834, -73.581263
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.5242361,-73.5815522
15e avenue / Laurier,Rosemont - La Petite-Patrie,45.5533199,-73.569328
Cartier / Marie-Anne,Le Plateau-Mont-Royal,45.532674,-73.571776
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.5254742,-73.5743251
Rachel / de Brébeuf,Le Plateau-Mont-Royal,45.52689,-73.57264
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527795,-73.571939
Roy / St-André,Le Plateau-Mont-Royal,45.5215
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.5152281,-73.5750961
Milton / St-Laurent,Le Plateau-Mont-Royal,45.5129039,-73.5705918
eanne-Mance / Sherbrooke,Le Plateau-Mont-Royal,45.5092868,-73.5710192
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.527201,-73.564729
Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,45.518292,-73.567971
Milton / St-Laurent,Le Plateau-Mont-Royal,45.5129039,-73.5705918
Jeanne-Mance / Sherbrooke,Le Plateau-Mont-Royal,45.5092868,-73.5710192
Gare d'autocars de Montréal (Berri / Ontario),Ville-Marie,45.516897,-73.563949
BAnQ (Berri),Ville-Marie,45.5160139,-73.5629196
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.5140122,-73.5659867
Clark / Ontario,Ville-Marie,45.5106246,-73.5669033
St-Denis / de Maisonneuve,Ville-Marie,45.514404,-73.561919
t-Hubert / de Maisonneuve (sud),Ville-Marie,45.5158684,-73.5600838
St-Hubert / de Maisonneuve (nord),Ville-Marie,45.5161321,-73.5604969
Métro St-Laurent ( de Maisonneuve / St-Laurent),Ville-Marie,45.5107698,-73.5649373
des Érables / Rachel,Le Plateau-Mont-Royal,45.533547,-73.566867
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.5415485,-73.5650124
Omer-Lavallée / du Midway,Rosemont - La Petite-Patrie,45.545776,-73.562175
Préfontaine / Marcel-Pépin,Rosemont - La Petite-Patrie,45.5436538,-73.5594206
Sherbrooke / Jeanne-d'Arc,Rosemont - La Petite-Patrie,45.5539816,-73.5549639
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.5543734,-73.5513747
La Tour de Montréal (Pierre-de-Coubertin / Bennett),Mercier - Hochelaga-Maisonneuve,45.5597053,-73.5515544
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.5590311,-73.5483035
Métro Viau (Viau / Pierre-de-Coubertin),Mercier - Hochelaga-Maisonneuve,45.5630842,-73.5481941
Ontario / Ville-Marie,Mercier - Hochelaga-Maisonneuve,45.5600196,-73.5349345
Bennett / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.553053,-73.532427
Marché Maisonneuve,Mercier - Hochelaga-Maisonneuve,45.553219,-73.539782
Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.5471414,-73.5433951
Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.544284,-73.54534
Métro Joliette  (Hochelaga / Joliette),Mercier - Hochelaga-Maisonneuve,45.5469919,-73.5511534
de Chambly / de Rouen,Mercier - Hochelaga-Maisonneuve,45.5471031,-73.5489245
du Havre / Hochelaga,Ville-Marie,45.535753,-73.557941
Métro Frontenac (Ontario / du Havre),Ville-Marie,45.533706,-73.552179
Frontenac / Ste-Catherine,Ville-Marie,45.5300628,-73.5455918
de Maisonneuve / Fullum,Ville-Marie,45.5279714,-73.5494837
Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238446,-73.552366
Dorion / Ontario,Ville-Marie,45.526991,-73.558212
René-Lévesque / Papineau,Ville-Marie,45.5209208,-73.5499048
René-Lévesque / Panet,Ville-Marie,45.5186242,-73.5521901
de la Côte St-Paul / St-Ambroise,Le Sud-Ouest,45.4676657,-73.5939178
St-Rémi / Ste Émilie,Le Sud-Ouest,45.4697664,-73.5892588
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539
Parc St-Henri (Laporte / Guay),Le Sud-Ouest,45.4801338,-73.5859081
Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.4836285,-73.5797026
St-Jacques / Vinet,Le Sud-Ouest,45.485329,-73.5769227
Workman / Vinet,Le Sud-Ouest,45.4837889,-73.5750613
Marché Atwater,Le Sud-Ouest,45.480208,-73.577599
Atwater / Greene,Le Sud-Ouest,45.480495,-73.577827
Atwater / Sherbrooke,Ville-Marie,45.491226,-73.58763
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566
Georges-Vanier / Notre-Dame,Le Sud-Ouest,45.485048,-73.571963
Ste-Catherine / Towers,Ville-Marie,45.4922807,-73.5809648
Métro Georges-Vanier (St-Antoine / Canning),Le Sud-Ouest,45.4891,-73.57656
St-Jacques / des Seigneurs,Le Sud-Ouest,45.489186,-73.5719
St-Jacques / Richmond, Le Sud-Ouest, 45.491381, -73.570249
Notre-Dame / St-Martin,Le Sud-Ouest,45.4883019,-73.5687178
Richmond / des Bassins,Le Sud-Ouest,45.4875216,-73.565003
Ottawa / William,Le Sud-Ouest,45.489727,-73.564063
ttawa / du Séminaire,Le Sud-Ouest,45.4912954,-73.5615993
des Bassins / du Séminaire,Ville-Marie,45.490452,-73.560172
de la Montagne / Notre-Dame,Le Sud-Ouest,45.4929134,-73.5646878
Peel / Notre-Dame,Ville-Marie,45.4954469,-73.5632944
Smith / Peel,Le Sud-Ouest,45.4929335, -73.5564534
Duke / Nazareth,Ville-Marie,45.4957224,-73.5546134
William / Robert-Bourassa,Le Sud-Ouest,45.497165,-73.55933
obert-Bourassa / St-Maurice,Ville-Marie,45.4983705,-73.5605559
de la Commune / King,Ville-Marie,45.497515,-73.552571
de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347
Place d'Youville,Ville-Marie,45.501967,-73.555153
St-Jacques / McGill,Ville-Marie,45.501441,-73.560144
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.5029397,-73.5606404
Notre-Dame / St-Gabriel,Ville-Marie,45.507144,-73.555119
de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761,-73.551836
de la Commune / Berri,Ville-Marie,45.51086,-73.54983
Porte de Québec / St-André,Ville-Marie,45.5132941,-73.5505781
Square Viger (Berri / Viger),Ville-Marie,45.5122121,-73.5546289
Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,45.510351,-73.556508
Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50623,-73.55976
Viger / Chenneville,Ville-Marie,45.505312,-73.560891
Jeanne-Mance / René-Lévesque,Ville-Marie,45.506371,-73.564201
Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.5078852,-73.5631506
Drummond / Ste-Catherine,Ville-Marie,45.498639,-73.574227
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507
Ste-Catherine / Bishop,Ville-Marie,45.4966367,-73.5761287
Mackay / de Maisonneuve,Ville-Marie,45.49683,-73.57913
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),Ville-Marie,45.494872,-73.571124
St-Antoine / de la Montagne,Ville-Marie,45.4953717,-73.5685891
Place du Canada (Peel / des Canadiens-de-Montréal),Ville-Marie,45.4978835,-73.5685676
Stanley / René-Lévesque,Ville-Marie,45.4979039,-73.5707757
Robert-Bourassa / René-Lévesque,Ville-Marie,45.5021829,-73.5682538
de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505063,-73.5706812
de Maisonneuve / Aylmer (est),Ville-Marie,45.505386,-73.570432
de Maisonneuve / Mansfield (sud-est),Ville-Marie,45.5022935,-73.5733064
de Maisonneuve / Mansfield (sud),Ville-Marie,45.502145,-73.573427
McTavish / Sherbrooke,Ville-Marie,45.502813,-73.576024
Cathcart / McGill College,Ville-Marie,45.5011877,-73.5704549
du Square Dorchester / Peel, Ville-Marie, 45.499891, -73.571995
de Maisonneuve / Mansfield (nord),Ville-Marie,45.502311,-73.5733635